# DISTANCE:     AVE_GOFR:        ERROR:
    0.884913  0.00119217 3.90589e-05
    0.910562   0.0236863 0.000368289
    0.936212    0.165868  0.00220786
    0.961861     0.56622  0.00414639
    0.987511     1.19712  0.00826106
     1.01316     1.87033  0.00605062
     1.03881     2.33721  0.00616565
     1.06446     2.54917  0.00269474
     1.09011     2.54416  0.00261155
     1.11576     2.41055  0.00587839
     1.14141     2.21014  0.00482004
     1.16706     1.98009  0.00578103
     1.19271     1.75543    0.003881
     1.21836     1.55829  0.00558525
     1.24401      1.3864  0.00357856
     1.26966     1.24341  0.00308993
     1.29531     1.12529  0.00290751
     1.32096     1.02295  0.00178926
     1.34661    0.941328  0.00250199
     1.37226    0.868043  0.00331069
     1.39791    0.817885 0.000729922
     1.42355    0.773838  0.00272078
      1.4492    0.738842   0.0017177
     1.47485    0.710446  0.00196333
      1.5005    0.688811  0.00259813
     1.52615    0.676929  0.00199886
      1.5518    0.670953  0.00133825
     1.57745    0.671743  0.00191571
      1.6031    0.672437  0.00255617
     1.62875    0.685015  0.00200032
      1.6544    0.700963  0.00275521
     1.68005    0.726253  0.00340251
      1.7057      0.7496  0.00211436
     1.73135    0.779471  0.00272228
       1.757    0.816861  0.00304182
     1.78265    0.850868  0.00225683
      1.8083    0.893891     0.00128
     1.83395    0.934976  0.00205343
      1.8596    0.976597  0.00160414
     1.88525     1.02172  0.00194697
      1.9109     1.05842   0.0018481
     1.93655     1.09547 0.000840665
      1.9622     1.13521  0.00262996
     1.98785     1.16304   0.0025695
      2.0135     1.18765  0.00185425
     2.03915     1.20441  0.00276266
      2.0648     1.21553  0.00301937
     2.09045     1.21783  0.00218276
      2.1161     1.20899  0.00153987
     2.14174      1.1941  0.00298636
     2.16739     1.17368  0.00298306
     2.19304     1.15044  0.00235473
     2.21869     1.12097  0.00207611
     2.24434     1.09331  0.00219811
     2.26999     1.06543  0.00113329
     2.29564      1.0388  0.00155314
     2.32129     1.01209  0.00200863
     2.34694    0.985763  0.00153014
     2.37259    0.967548 0.000972457
     2.39824    0.944957  0.00161143
     2.42389    0.929581  0.00132047
     2.44954    0.917946   0.0016275
     2.47519    0.907836  0.00193581
     2.50084    0.894987  0.00147906
     2.52649    0.884888  0.00158154
     2.55214    0.885935  0.00203085
   0.0128248           0           0
   0.0384745           0           0
