BETA:        ENERGY:       ERROR:      ACCEPTANCY:
 0.0914186     0.246286     0.0924072       0.44
 0.0905044     -0.263725     0.014078       0.55
 0.0895994     -0.216163     0.0304884       0.51
 0.0887034     -0.063049     0.0324118       0.47
 0.0878164     -0.229349     0.0145431       0.53
 0.0869382     -0.205462     0.0438207       0.54
 0.0860688     -0.0431449     0.0569515       0.5
 0.0852081     -0.267828     0.0159462       0.47
 0.0843561     -0.272273     0.0173526       0.59
 0.0835125     -0.231884     0.0142674       0.59
 0.0826774     -0.252003     0.0155228       0.6
 0.0818506     -0.181939     0.0145734       0.48
 0.0810321     -0.264005     0.0208706       0.55
 0.0802218     -0.304621     0.0148901       0.49
 0.0794196     -0.427211     0.0109013       0.66
 0.0786254     -0.390365     0.0141454       0.41
 0.0778391     -0.413191     0.0127045       0.54
 0.0770607     -0.450796     0.0165919       0.57
 0.0762901     -0.370848     0.00867255       0.53
 0.0755272     -0.0554229     0.0183901       0.58
 0.0747719     -0.26628     0.027197       0.41
 0.0740242     -0.153459     0.0452107       0.49
 0.073284     -0.277607     0.0294239       0.5
 0.0725511     -0.45656     0.00910327       0.53
 0.0718256     -0.308079     0.0198788       0.57
 0.0711074     -0.355277     0.0109071       0.54
 0.0703963     -0.312702     0.0133885       0.5
 0.0696923     -0.39342     0.0185302       0.54
 0.0689954     -0.441273     0.00933395       0.51
 0.0683055     -0.366206     0.0128003       0.53
 0.0676224     0.00990107     0.0631769       0.57
 0.0669462     -0.190957     0.013124       0.5
 0.0662767     -0.338116     0.0184804       0.59
 0.0656139     -0.292651     0.0118534       0.51
 0.0649578     -0.358618     0.00877701       0.55
 0.0643082     -0.353213     0.0156583       0.52
 0.0636651     -0.302165     0.0221039       0.45
 0.0630285     -0.419892     0.0101075       0.53
 0.0623982     -0.410545     0.0141668       0.52
 0.0617742     -0.440047     0.00877153       0.43
 0.0611565     -0.338911     0.0117677       0.53
 0.0605449     -0.351592     0.0361751       0.44
 0.0599395     -0.354611     0.0096937       0.56
 0.0593401     -0.290276     0.0201417       0.49
 0.0587467     -0.359673     0.0092354       0.49
 0.0581592     -0.382781     0.00923526       0.52
 0.0575776     -0.429664     0.00797512       0.5
 0.0570018     -0.431378     0.00897664       0.41
 0.0564318     -0.436302     0.00989143       0.45
 0.0558675     -0.35733     0.0190592       0.45
 0.0553088     -0.329118     0.0131629       0.59
 0.0547557     -0.448004     0.00974174       0.5
 0.0542082     -0.413905     0.010611       0.49
 0.0536661     -0.41366     0.0190302       0.58
 0.0531294     -0.427171     0.00854778       0.56
 0.0525981     -0.380844     0.0192112       0.56
 0.0520722     -0.401792     0.0153066       0.57
 0.0515514     -0.383358     0.0160698       0.44
 0.0510359     -0.411429     0.0123511       0.44
 0.0505256     -0.391546     0.0154192       0.54
 0.0500203     -0.405154     0.0127119       0.48
 0.0495201     -0.432966     0.0220401       0.45
 0.0490249     -0.415505     0.0125035       0.54
 0.0485347     -0.388387     0.0168141       0.54
 0.0480493     -0.440352     0.00940862       0.54
 0.0475688     -0.429348     0.0138767       0.51
 0.0470931     -0.407929     0.0155236       0.51
 0.0466222     -0.447331     0.00878013       0.51
 0.046156     -0.420565     0.0123418       0.51
 0.0456944     -0.382717     0.00937626       0.51
 0.0452375     -0.429805     0.0163078       0.49
 0.0447851     -0.448118     0.0083334       0.58
 0.0443372     -0.427347     0.00895461       0.51
 0.0438939     -0.417183     0.0121968       0.55
 0.0434549     -0.387079     0.0154222       0.56
 0.0430204     -0.390313     0.0129809       0.48
 0.0425902     -0.430551     0.00939061       0.59
 0.0421643     -0.399713     0.0113414       0.43
 0.0417426     -0.417533     0.0112732       0.51
 0.0413252     -0.431398     0.0107636       0.57
 0.040912     -0.456496     0.0108911       0.52
 0.0405028     -0.441178     0.0122028       0.54
 0.0400978     -0.441397     0.00909556       0.57
 0.0396968     -0.416973     0.0102324       0.52
 0.0392999     -0.43903     0.0093463       0.44
 0.0389069     -0.43446     0.0091577       0.61
 0.0385178     -0.354908     0.0163145       0.44
 0.0381326     -0.439783     0.00843348       0.49
 0.0377513     -0.426735     0.00765661       0.56
 0.0373738     -0.385002     0.0162594       0.64
 0.037     -0.42239     0.00878095       0.51
 0.03663     -0.352527     0.0115855       0.5
 0.0362637     -0.380713     0.0146878       0.49
 0.0359011     -0.407686     0.00908131       0.57
 0.0355421     -0.416744     0.00791457       0.41
 0.0351867     -0.370315     0.016689       0.54
 0.0348348     -0.400532     0.0125071       0.49
 0.0344865     -0.377583     0.0165007       0.51
 0.0341416     -0.432425     0.00756542       0.56
 0.0338002     -0.450434     0.00891206       0.55
 0.0334622     -0.414484     0.0105633       0.47
 0.0331276     -0.449402     0.0108744       0.54
 0.0327963     -0.430572     0.0124355       0.51
 0.0324683     -0.401517     0.0109711       0.48
 0.0321436     -0.42561     0.00939005       0.45
 0.0318222     -0.445283     0.00806976       0.56
 0.031504     -0.439804     0.00955224       0.51
 0.0311889     -0.434589     0.0102062       0.48
 0.030877     -0.410613     0.0110575       0.51
 0.0305683     -0.426816     0.00903822       0.58
 0.0302626     -0.444772     0.00863422       0.53
 0.02996     -0.417667     0.0196029       0.54
 0.0296604     -0.408534     0.0119797       0.62
 0.0293638     -0.419538     0.0157773       0.49
 0.0290701     -0.442803     0.00851022       0.47
 0.0287794     -0.434     0.0137029       0.58
 0.0284916     -0.436674     0.00947416       0.47
 0.0282067     -0.439947     0.00914183       0.54
 0.0279246     -0.454312     0.00781045       0.58
 0.0276454     -0.401796     0.0116265       0.53
 0.0273689     -0.446111     0.00890007       0.59
 0.0270953     -0.437631     0.00879807       0.48
 0.0268243     -0.435021     0.00855216       0.43
 0.0265561     -0.423899     0.0102212       0.46
 0.0262905     -0.410135     0.0110242       0.49
 0.0260276     -0.449986     0.00848319       0.53
 0.0257673     -0.43923     0.00870889       0.55
 0.0255096     -0.394139     0.0141551       0.52
 0.0252546     -0.452813     0.00828076       0.53
 0.025002     -0.425409     0.00881245       0.44
 0.024752     -0.41605     0.0118975       0.49
 0.0245045     -0.422314     0.0127484       0.49
 0.0242594     -0.428744     0.00759826       0.4
 0.0240168     -0.384974     0.0143538       0.39
 0.0237767     -0.389689     0.0106153       0.55
 0.0235389     -0.403508     0.010449       0.46
 0.0233035     -0.400427     0.00946567       0.55
 0.0230705     -0.385023     0.00988007       0.56
 0.0228398     -0.29978     0.0179468       0.54
 0.0226114     -0.194307     0.0403631       0.49
 0.0223853     -0.343198     0.0109747       0.57
 0.0221614     -0.305033     0.00943209       0.5
 0.0219398     -0.360714     0.0101502       0.58
 0.0217204     -0.348178     0.0140327       0.5
 0.0215032     -0.383686     0.0100456       0.43
 0.0212882     -0.39904     0.0103036       0.48
 0.0210753     -0.382238     0.0144023       0.46
 0.0208645     -0.393449     0.0105196       0.59
 0.0206559     -0.400522     0.00969554       0.46
 0.0204493     -0.391964     0.00874298       0.51
 0.0202448     -0.401945     0.00988469       0.51
 0.0200424     -0.412827     0.00747181       0.58
 0.0198419     -0.430342     0.00732035       0.52
 0.0196435     -0.400227     0.0107718       0.5
 0.0194471     -0.412965     0.00911543       0.4
 0.0192526     -0.365508     0.0146487       0.44
 0.0190601     -0.378936     0.0108629       0.48
 0.0188695     -0.385012     0.0130228       0.48
 0.0186808     -0.384033     0.0106251       0.5
 0.018494     -0.374902     0.00912966       0.51
 0.0183091     -0.325092     0.00987581       0.44
 0.018126     -0.394459     0.0112234       0.43
 0.0179447     -0.370292     0.0092109       0.57
 0.0177653     -0.372811     0.00871638       0.52
 0.0175876     -0.40864     0.00873695       0.5
 0.0174117     -0.370355     0.010417       0.49
 0.0172376     -0.386801     0.00858078       0.56
 0.0170652     -0.424418     0.0105287       0.54
 0.0168946     -0.434966     0.00812268       0.46
 0.0167256     -0.426256     0.0117115       0.53
 0.0165584     -0.411362     0.0132818       0.6
 0.0163928     -0.452503     0.0104218       0.54
 0.0162289     -0.418829     0.0101307       0.54
 0.0160666     -0.422386     0.0122387       0.55
 0.0159059     -0.439088     0.00869142       0.52
 0.0157469     -0.448824     0.00865892       0.5
 0.0155894     -0.416344     0.0179394       0.45
 0.0154335     -0.45365     0.0089112       0.56
 0.0152792     -0.445102     0.0095351       0.43
 0.0151264     -0.432709     0.0101112       0.52
 0.0149751     -0.404955     0.0133451       0.48
 0.0148254     -0.457236     0.00827182       0.5
 0.0146771     -0.441809     0.00920818       0.48
 0.0145303     -0.433615     0.010897       0.47
 0.014385     -0.450841     0.00836453       0.44
 0.0142412     -0.438294     0.0101819       0.53
 0.0140988     -0.447748     0.00781916       0.62
 0.0139578     -0.435675     0.01088       0.53
 0.0138182     -0.448608     0.00774525       0.57
 0.01368     -0.418413     0.0122399       0.47
 0.0135432     -0.446275     0.00862767       0.48
 0.0134078     -0.444881     0.0094142       0.5
 0.0132737     -0.436748     0.00797349       0.58
 0.013141     -0.436192     0.00935097       0.55
 0.0130096     -0.441205     0.0201353       0.5
 0.0128795     -0.441617     0.00786996       0.44
 0.0127507     -0.423951     0.00901678       0.63
 0.0126232     -0.412688     0.0108479       0.64
 0.0124969     -0.452383     0.00855264       0.49
 0.012372     -0.444736     0.00805258       0.55
 0.0122482     -0.437406     0.00790171       0.57
 0.0121258     -0.441011     0.0095249       0.46
 0.0120045     -0.403823     0.0121976       0.5
 0.0118845     -0.445759     0.00815809       0.44
 0.0117656     -0.428472     0.00805055       0.47
 0.011648     -0.427838     0.00874503       0.47
 0.0115315     -0.448493     0.0079593       0.48
 0.0114162     -0.430721     0.0121959       0.55
 0.011302     -0.42693     0.00863555       0.49
 0.011189     -0.413408     0.00843908       0.49
 0.0110771     -0.400955     0.00985714       0.57
 0.0109663     -0.374963     0.0131975       0.53
 0.0108567     -0.400604     0.00772097       0.51
 0.0107481     -0.405773     0.0109831       0.4
 0.0106406     -0.425535     0.00785903       0.58
 0.0105342     -0.416338     0.00947629       0.44
 0.0104289     -0.416603     0.00820419       0.5
 0.0103246     -0.425223     0.00861047       0.49
 0.0102213     -0.432515     0.00920581       0.48
 0.0101191     -0.419671     0.0103347       0.55
 0.0100179     -0.431008     0.00787648       0.59
